ticker,first_date,last_date,n_days,n_months
IGIL,"(2014, 7, 3)","(2026, 8, 3)",145,145
ILP,"(2019, 4, 5)","(2026, 8, 3)",89,89
ILTM,"(2013, 12, 2)","(2021, 6, 24)",87,87
IMAGE,"(2021, 4, 6)","(2026, 8, 3)",65,65
IML,"(2020, 11, 18)","(2026, 8, 3)",70,70
IMS,"(2024, 11, 25)","(2026, 8, 3)",22,22
IMSL,"(2015, 6, 8)","(2020, 11, 17)",66,66
INDU,"(2013, 12, 3)","(2026, 8, 3)",153,153
INIL,"(2013, 12, 2)","(2026, 8, 3)",153,153
INKL,"(2013, 12, 5)","(2026, 8, 3)",150,150
INL,"(2017, 3, 13)","(2017, 3, 13)",1,1
INMF,"(2021, 10, 25)","(2021, 10, 29)",1,1
IPAK,"(2024, 6, 3)","(2026, 8, 3)",27,27
ISHT,"(2019, 5, 23)","(2019, 7, 18)",2,2
ISIL,"(2013, 12, 2)","(2026, 8, 3)",144,144
ISL,"(2013, 12, 2)","(2026, 8, 3)",153,153
ISTM,"(2013, 12, 2)","(2019, 4, 11)",57,57
ITANZ,"(2026, 2, 3)","(2026, 8, 3)",7,7
ITTEFAQ,"(2017, 7, 3)","(2026, 8, 3)",110,110
JATM,"(2013, 12, 2)","(2026, 8, 3)",153,153
JDMT,"(2013, 12, 2)","(2026, 8, 3)",144,144
JDWS,"(2013, 12, 2)","(2026, 8, 3)",153,153
JGICL,"(2013, 12, 2)","(2026, 8, 3)",152,152
JKSM,"(2013, 12, 2)","(2026, 8, 3)",149,149
JLICL,"(2013, 12, 2)","(2026, 8, 3)",153,153
JOPP,"(2013, 12, 2)","(2024, 4, 16)",125,125
JPGL,"(2013, 12, 2)","(2021, 10, 29)",50,50
JSBL,"(2013, 12, 2)","(2026, 8, 3)",153,153
JSCL,"(2013, 12, 2)","(2026, 8, 3)",153,153
JSGCL,"(2013, 12, 3)","(2026, 8, 3)",153,153
JSIL,"(2013, 12, 2)","(2026, 8, 3)",153,153
JSML,"(2014, 9, 22)","(2026, 8, 3)",144,144
JUBS,"(2013, 12, 2)","(2026, 8, 3)",153,153
JVDC,"(2013, 12, 19)","(2026, 8, 3)",153,153
KAKL,"(2021, 10, 25)","(2021, 10, 29)",1,1
KAPCO,"(2013, 12, 2)","(2026, 8, 3)",153,153
KASBM,"(2013, 12, 4)","(2023, 5, 5)",112,112
KCL,"(2013, 12, 5)","(2026, 7, 30)",128,128
KEL,"(2014, 2, 3)","(2026, 8, 3)",151,151
KHSM,"(2019, 2, 28)","(2022, 5, 25)",40,40
KHTC,"(2013, 12, 2)","(2026, 8, 3)",153,153
KHYT,"(2014, 1, 3)","(2026, 8, 3)",90,90
KML,"(2013, 12, 2)","(2026, 8, 3)",152,152
KOHC,"(2013, 12, 2)","(2026, 8, 3)",153,153
KOHE,"(2013, 12, 2)","(2026, 8, 3)",153,153
KOHP,"(2013, 12, 2)","(2026, 8, 3)",153,153
KOHTM,"(2013, 12, 2)","(2026, 8, 3)",142,142
KOIL,"(2013, 12, 2)","(2026, 8, 3)",153,153
KOSM,"(2013, 12, 2)","(2026, 8, 3)",153,153
KPUS,"(2013, 12, 19)","(2026, 8, 3)",119,119
KSBP,"(2013, 12, 2)","(2026, 8, 3)",153,153
KSTM,"(2013, 12, 2)","(2026, 8, 3)",88,88
KTML,"(2013, 12, 2)","(2026, 8, 3)",153,153
