ticker,year,month,volume_shares
CFL,2018,2,16000.0
CFL,2018,3,104500.0
CFL,2018,4,120000.0
CFL,2018,5,81500.0
CFL,2018,6,1000.0
CFL,2018,8,500.0
CFL,2018,10,5500.0
CFL,2018,11,33500.0
CFL,2018,12,500.0
CFL,2019,1,6000.0
CFL,2019,2,1000.0
CFL,2019,3,500.0
CFL,2019,4,0.0
CFL,2019,9,0.0
CFL,2019,10,6000.0
CFL,2019,12,7500.0
CFL,2020,1,5000.0
CFL,2020,2,500.0
CFL,2020,3,0.0
CFL,2020,6,15000.0
CFL,2020,8,500.0
CFL,2020,9,500.0
CFL,2020,10,2000.0
CFL,2020,11,13500.0
CFL,2020,12,3500.0
CFL,2021,1,6000.0
CFL,2021,2,5500.0
CFL,2021,3,18000.0
CFL,2021,4,90000.0
CFL,2021,5,7000.0
CFL,2021,6,29000.0
CFL,2021,7,49000.0
CFL,2021,8,19000.0
CFL,2021,9,75500.0
CFL,2021,10,21000.0
CFL,2021,11,100000.0
CFL,2021,12,21500.0
CFL,2022,2,1500.0
CFL,2022,3,3000.0
CFL,2022,4,133500.0
CFL,2022,6,2000.0
CFL,2022,7,4000.0
CFL,2022,8,27500.0
CFL,2022,9,45000.0
CFL,2022,10,5500.0
CFL,2022,11,2000.0
CFL,2022,12,5500.0
CFL,2023,1,2000.0
CFL,2023,2,43500.0
CFL,2023,5,1000.0
CFL,2023,6,153000.0
CFL,2023,7,500.0
CFL,2023,10,34000.0
CFL,2023,11,39500.0
CFL,2023,12,13500.0
CFL,2024,1,6000.0
CFL,2024,2,500.0
CFL,2024,5,6506.0
CFL,2024,6,14796.0
CFL,2024,7,11211.0
CFL,2024,8,4468.0
CFL,2024,9,3.0
CFL,2024,10,33224.0
CFL,2024,11,733.0
CFL,2024,12,24.0
CFL,2025,1,66985.0
CFL,2025,2,2000.0
CFL,2025,3,1223.0
CFL,2025,4,1116.0
CFL,2025,5,100.0
CFL,2025,6,5967.0
CFL,2025,7,7179.0
CFL,2025,8,5966.0
CFL,2025,9,45808.0
CFL,2025,10,3802.0
CFL,2025,11,789.0
CFL,2025,12,7382.0
CFL,2026,1,1055.0
CFL,2026,2,40632.0
CFL,2026,3,2829.0
CFL,2026,4,22759.0
CFL,2026,5,1782.0
CFL,2026,6,34661.0
CFL,2026,7,31782.0
CFL,2026,8,144.0
CHAS,2013,12,198000.0
CHAS,2014,1,1430000.0
CHAS,2014,2,35000.0
CHAS,2014,3,52500.0
CHAS,2014,4,306500.0
CHAS,2014,5,1261000.0
CHAS,2014,6,302000.0
CHAS,2014,7,343500.0
CHAS,2014,8,58500.0
CHAS,2014,9,689500.0
CHAS,2014,10,521500.0
CHAS,2014,11,215500.0
CHAS,2014,12,45500.0
CHAS,2015,1,67500.0
CHAS,2015,2,110000.0
CHAS,2015,3,25000.0
CHAS,2015,4,246000.0
CHAS,2015,5,115000.0
CHAS,2015,6,446000.0
CHAS,2015,7,179000.0
CHAS,2015,8,437000.0
CHAS,2015,9,66000.0
CHAS,2015,10,40500.0
CHAS,2015,11,18000.0
CHAS,2015,12,37500.0
CHAS,2016,1,172000.0
CHAS,2016,2,299500.0
CHAS,2016,3,184000.0
CHAS,2016,4,161000.0
CHAS,2016,5,348000.0
CHAS,2016,6,840500.0
CHAS,2016,7,187700.0
CHAS,2016,8,226800.0
CHAS,2016,9,173400.0
CHAS,2016,10,319300.0
CHAS,2016,11,1068800.0
CHAS,2016,12,713600.0
CHAS,2017,1,1495000.0
CHAS,2017,2,615000.0
CHAS,2017,3,82500.0
CHAS,2017,4,161000.0
CHAS,2017,5,1030000.0
CHAS,2017,6,356500.0
CHAS,2017,7,252500.0
CHAS,2017,8,436500.0
CHAS,2017,9,79000.0
CHAS,2017,10,117000.0
CHAS,2017,11,122000.0
CHAS,2017,12,281000.0
CHAS,2018,1,279000.0
CHAS,2018,2,276500.0
CHAS,2018,3,149500.0
CHAS,2018,4,757000.0
CHAS,2018,5,273000.0
CHAS,2018,6,170000.0
CHAS,2018,7,205500.0
CHAS,2018,8,194500.0
CHAS,2018,9,108500.0
CHAS,2018,10,343000.0
CHAS,2018,11,95500.0
CHAS,2018,12,490500.0
CHAS,2019,1,123000.0
CHAS,2019,2,62500.0
CHAS,2019,3,278000.0
CHAS,2019,4,10500.0
CHAS,2019,5,221500.0
CHAS,2019,6,558500.0
CHAS,2019,7,65000.0
CHAS,2019,8,44500.0
CHAS,2019,9,142000.0
CHAS,2019,10,489000.0
CHAS,2019,11,246500.0
CHAS,2019,12,540000.0
CHAS,2020,1,988000.0
CHAS,2020,2,217000.0
CHAS,2020,3,189500.0
CHAS,2020,4,234000.0
CHAS,2020,5,220500.0
CHAS,2020,6,1193500.0
CHAS,2020,7,112500.0
CHAS,2020,8,570000.0
CHAS,2020,9,341000.0
CHAS,2020,10,192500.0
CHAS,2020,11,50500.0
CHAS,2020,12,155500.0
CHAS,2021,1,389000.0
CHAS,2021,2,511000.0
CHAS,2021,3,290500.0
CHAS,2021,4,178500.0
CHAS,2021,5,74000.0
CHAS,2021,6,148500.0
CHAS,2021,7,52000.0
CHAS,2021,8,90000.0
CHAS,2021,9,128500.0
CHAS,2021,10,286500.0
CHAS,2021,11,36000.0
CHAS,2021,12,11000.0
CHAS,2022,1,27500.0
CHAS,2022,2,54500.0
CHAS,2022,3,118000.0
CHAS,2022,4,17500.0
CHAS,2022,5,9000.0
CHAS,2022,7,27500.0
CHAS,2022,8,1500.0
CHAS,2022,9,134000.0
CHAS,2022,10,4000.0
CHAS,2022,11,435500.0
CHAS,2022,12,13000.0
CHAS,2023,1,258000.0
CHAS,2023,2,36500.0
CHAS,2023,3,6500.0
CHAS,2023,4,20500.0
CHAS,2023,5,17000.0
CHAS,2023,6,28000.0
CHAS,2023,7,62000.0
CHAS,2023,8,160000.0
CHAS,2023,9,164500.0
CHAS,2023,10,34000.0
CHAS,2023,11,132000.0
CHAS,2023,12,358500.0
CHAS,2024,1,178500.0
CHAS,2024,2,301500.0
CHAS,2024,3,40000.0
CHAS,2024,4,71500.0
CHAS,2024,5,443365.0
CHAS,2024,6,24494.0
CHAS,2024,7,72479.0
CHAS,2024,8,99775.0
CHAS,2024,9,81459.0
CHAS,2024,10,59168.0
CHAS,2024,11,91286.0
CHAS,2024,12,128001.0
CHAS,2025,1,62505.0
CHAS,2025,2,251644.0
CHAS,2025,3,84847.0
CHAS,2025,4,155087.0
CHAS,2025,5,215319.0
CHAS,2025,6,36863.0
CHAS,2025,7,258276.0
CHAS,2025,8,97179.0
CHAS,2025,9,268064.0
CHAS,2025,10,74036.0
CHAS,2025,11,35740.0
CHAS,2025,12,27470.0
CHAS,2026,1,712569.0
CHAS,2026,2,3031469.0
CHAS,2026,3,154712.0
CHAS,2026,4,1372714.0
CHAS,2026,5,245471.0
CHAS,2026,6,633455.0
CHAS,2026,7,1789370.0
CHAS,2026,8,133304.0
CHBL,2013,12,10057500.0
CHBL,2014,1,31591000.0
CHBL,2014,2,14258500.0
CHBL,2014,3,7532500.0
CHBL,2014,4,5500000.0
CHBL,2014,5,6173000.0
CHBL,2014,6,7741000.0
CHBL,2014,7,606000.0
CHBL,2014,8,1517000.0
CHBL,2014,9,4002000.0
CHBL,2014,10,2891500.0
CHBL,2014,11,3888500.0
CHBL,2014,12,1833500.0
CHBL,2015,1,2354000.0
CHBL,2015,2,3488000.0
CHBL,2015,3,882000.0
CHBL,2015,4,762500.0
CHBL,2015,5,1250000.0
CHBL,2015,6,3538000.0
CHBL,2015,7,15865000.0
CHBL,2015,8,2500500.0
CHBL,2015,9,1135000.0
CHBL,2015,10,1586000.0
CHBL,2015,11,2318000.0
CHBL,2015,12,5188000.0
CHBL,2016,1,842500.0
CHBL,2016,2,397000.0
CHBL,2016,3,764500.0
CHBL,2016,4,3831000.0
CHBL,2016,5,5499000.0
CHBL,2016,6,3077000.0
CHBL,2016,7,1741500.0
CHBL,2016,8,2177000.0
CHBL,2016,9,39799500.0
CHBL,2016,10,32258500.0
CHBL,2016,11,32142000.0
CHBL,2016,12,17859000.0
CHBL,2017,1,17796000.0
CHBL,2017,2,6764500.0
CHBL,2017,3,3286500.0
CHBL,2017,4,2379000.0
CHBL,2017,5,14749500.0
CHBL,2017,6,2262000.0
CHBL,2017,7,3461500.0
CHBL,2017,8,6726000.0
CHBL,2017,9,12059000.0
CHBL,2017,10,3205000.0
CHBL,2017,11,1113500.0
CHBL,2017,12,1528500.0
CHBL,2021,10,0.0
CHBL,2024,6,24710935.0
CHBL,2024,7,8382923.0
CHBL,2024,8,21151233.0
CHBL,2024,9,34019905.0
CHBL,2024,10,9892891.0
CHBL,2024,11,20128814.0
CHBL,2024,12,14924297.0
CHBL,2025,1,20770059.0
CHBL,2025,2,11313235.0
CHBL,2025,3,1459256.0
CHBL,2025,4,2455485.0
CHBL,2025,5,3707410.0
CHBL,2025,6,3968456.0
CHBL,2025,7,74996014.0
CHBL,2025,8,50608699.0
CHBL,2025,9,12860760.0
CHBL,2025,10,18044089.0
CHBL,2025,11,24044602.0
CHBL,2025,12,11958530.0
CHBL,2026,1,22131819.0
CHBL,2026,2,15517983.0
CHBL,2026,3,27731272.0
CHBL,2026,4,12450359.0
CHBL,2026,5,21636992.0
CHBL,2026,6,13192783.0
CHBL,2026,7,10800982.0
CHBL,2026,8,208913.0
CHCC,2013,12,13789000.0
CHCC,2014,1,21983500.0
CHCC,2014,2,26559500.0
CHCC,2014,3,9345000.0
CHCC,2014,4,11998000.0
CHCC,2014,5,4591000.0
CHCC,2014,6,13083500.0
CHCC,2014,7,32932500.0
CHCC,2014,8,19790000.0
CHCC,2014,9,11305000.0
CHCC,2014,10,19332500.0
CHCC,2014,11,32951500.0
CHCC,2014,12,63610000.0
CHCC,2015,1,93276000.0
CHCC,2015,2,59551500.0
CHCC,2015,3,26905000.0
CHCC,2015,4,24626000.0
CHCC,2015,5,11400000.0
CHCC,2015,6,27687000.0
CHCC,2015,7,27921500.0
CHCC,2015,8,13586500.0
CHCC,2015,9,8186500.0
CHCC,2015,10,8178500.0
CHCC,2015,11,2658500.0
CHCC,2015,12,7246000.0
CHCC,2016,1,11049500.0
CHCC,2016,2,8093500.0
CHCC,2016,3,28394500.0
CHCC,2016,4,19759500.0
CHCC,2016,5,15798000.0
CHCC,2016,6,18555000.0
CHCC,2016,7,11183100.0
CHCC,2016,8,8065300.0
CHCC,2016,9,10166300.0
CHCC,2016,10,8874100.0
CHCC,2016,11,15521400.0
CHCC,2016,12,23986000.0
CHCC,2017,1,16721100.0
CHCC,2017,2,10015900.0
CHCC,2017,3,6251100.0
CHCC,2017,4,5456600.0
CHCC,2017,5,5465500.0
CHCC,2017,6,6263400.0
CHCC,2017,7,3787100.0
CHCC,2017,8,7366000.0
CHCC,2017,9,4859500.0
CHCC,2017,10,7079800.0
CHCC,2017,11,3101600.0
CHCC,2017,12,6779800.0
CHCC,2018,1,13206500.0
CHCC,2018,2,5761500.0
CHCC,2018,3,4371500.0
CHCC,2018,4,5311500.0
CHCC,2018,5,3173500.0
CHCC,2018,6,2056000.0
CHCC,2018,7,10092400.0
CHCC,2018,8,4124600.0
CHCC,2018,9,4937300.0
CHCC,2018,10,9965500.0
CHCC,2018,11,16192200.0
CHCC,2018,12,10607200.0
CHCC,2019,1,4506500.0
CHCC,2019,2,6639000.0
CHCC,2019,3,5095500.0
CHCC,2019,4,32397500.0
CHCC,2019,5,22045000.0
CHCC,2019,6,18457000.0
CHCC,2019,7,13858000.0
CHCC,2019,8,19601000.0
CHCC,2019,9,11162500.0
CHCC,2019,10,30682000.0
CHCC,2019,11,46449500.0
CHCC,2019,12,43186000.0
CHCC,2020,1,44083000.0
CHCC,2020,2,31504000.0
CHCC,2020,3,72303000.0
CHCC,2020,4,57878000.0
CHCC,2020,5,33480500.0
CHCC,2020,6,14794500.0
CHCC,2020,7,33291000.0
CHCC,2020,8,32059000.0
CHCC,2020,9,14563500.0
CHCC,2020,10,26176000.0
CHCC,2020,11,10086000.0
CHCC,2020,12,17450000.0
CHCC,2021,1,17604800.0
CHCC,2021,2,21134600.0
CHCC,2021,3,17738100.0
CHCC,2021,4,9229300.0
CHCC,2021,5,7966600.0
CHCC,2021,6,11462300.0
CHCC,2021,7,7502400.0
CHCC,2021,8,6178400.0
CHCC,2021,9,9267900.0
CHCC,2021,10,16307900.0
CHCC,2021,11,11097100.0
CHCC,2021,12,13676400.0
CHCC,2022,1,5826507.0
CHCC,2022,2,3551210.0
CHCC,2022,3,9353883.0
CHCC,2022,4,7533737.0
CHCC,2022,5,5385239.0
CHCC,2022,6,16038693.0
CHCC,2022,7,4192186.0
CHCC,2022,8,8334686.0
CHCC,2022,9,17458311.0
CHCC,2022,10,12658972.0
CHCC,2022,11,11098787.0
CHCC,2022,12,8908266.0
CHCC,2023,1,11047072.0
CHCC,2023,2,10989819.0
CHCC,2023,3,17906037.0
CHCC,2023,4,4026356.0
CHCC,2023,5,13230803.0
CHCC,2023,6,3563611.0
CHCC,2023,7,10765818.0
CHCC,2023,8,12721469.0
CHCC,2023,9,4047080.0
CHCC,2023,10,11025947.0
CHCC,2023,11,15937251.0
CHCC,2023,12,17686616.0
CHCC,2024,1,5896237.0
CHCC,2024,2,2646313.0
CHCC,2024,3,2866209.0
CHCC,2024,4,6212491.0
CHCC,2024,5,6521211.0
CHCC,2024,6,3241362.0
CHCC,2024,7,4808729.0
CHCC,2024,8,7518927.0
CHCC,2024,9,3010922.0
CHCC,2024,10,10632385.0
CHCC,2024,11,9578304.0
CHCC,2024,12,27878299.0
CHCC,2025,1,7781933.0
CHCC,2025,2,8002036.0
CHCC,2025,3,7504772.0
CHCC,2025,4,8522366.0
CHCC,2025,5,8738036.0
CHCC,2025,6,7210537.0
CHCC,2025,7,6048734.0
CHCC,2025,8,10514285.0
CHCC,2025,9,7791433.0
CHCC,2025,10,6063903.0
CHCC,2025,11,3935954.0
CHCC,2025,12,13683978.0
CHCC,2026,1,6791833.0
CHCC,2026,2,4787404.0
CHCC,2026,3,5331282.0
CHCC,2026,4,9105526.0
CHCC,2026,5,3549206.0
CHCC,2026,6,10588804.0
CHCC,2026,7,7213118.0
CHCC,2026,8,276464.0
CJPL,2013,12,1542500.0
CJPL,2014,1,3315500.0
CJPL,2014,2,5202000.0
CJPL,2014,3,911500.0
CJPL,2014,4,799000.0
CJPL,2014,5,244000.0
CJPL,2014,6,195000.0
CJPL,2014,7,55500.0
CJPL,2014,8,166000.0
CJPL,2014,9,2422000.0
CJPL,2014,10,1384500.0
CJPL,2014,11,714000.0
CJPL,2014,12,756500.0
CJPL,2015,1,466000.0
CJPL,2015,2,2036500.0
CJPL,2015,3,4693500.0
CJPL,2015,4,664000.0
CJPL,2015,5,385000.0
CJPL,2015,6,520000.0
CJPL,2015,7,1459500.0
CJPL,2015,8,485000.0
CJPL,2015,9,457500.0
CJPL,2015,10,263000.0
CJPL,2015,11,193000.0
CJPL,2015,12,67000.0
CJPL,2016,1,147000.0
CJPL,2016,2,3125000.0
CJPL,2016,3,432500.0
CJPL,2016,4,318000.0
CJPL,2016,5,496500.0
CJPL,2016,6,332000.0
CJPL,2016,7,293000.0
CJPL,2016,8,2517500.0
CJPL,2016,9,2363500.0
CJPL,2016,10,514000.0
CJPL,2016,11,4466500.0
CJPL,2016,12,1210000.0
CJPL,2017,1,7581500.0
CJPL,2017,2,625000.0
CJPL,2017,3,2020500.0
