ticker,year,month,ret_monthly,n_days,first_close,last_close
AHL,2024,5,0.0906981241539353,21,51.71,56.4,3562140.0
AHL,2024,6,0.046276595744680904,17,56.4,59.01,742680.0
AHL,2024,7,-0.028978139298423966,21,59.01,57.3,3076184.0
AHL,2024,8,0.02495636998254791,21,57.3,58.73,673679.0
AHL,2024,9,-0.0028946024178442276,20,58.73,58.56,944150.0
AHL,2024,10,-0.38405054644808745,23,58.56,36.07,4649208.0
AHL,2024,11,0.1874133629054615,21,36.07,42.83,6112521.0
AHL,2024,12,0.33084286714919453,21,42.83,57.0,6802238.0
AHL,2025,1,0.2649122807017543,23,57.0,72.1,5799116.0
AHL,2025,2,-0.19653259361997222,19,72.1,57.93,4137940.0
AHL,2025,3,0.12601415501467295,19,57.93,65.23,885319.0
AHL,2025,4,-0.03863253104399822,20,65.23,62.71,3119367.0
AHL,2025,5,0.16408866209535966,20,62.71,73.0,2665026.0
AHL,2025,6,0.0332876712328769,19,73.0,75.43,544015.0
AHL,2025,7,-0.00013257324671889226,23,75.43,75.42,1335618.0
AHL,2025,8,0.22699549191195967,20,75.42,92.54,4021377.0
AHL,2025,9,0.3845904473741084,22,92.54,128.13,4689813.0
AHL,2025,10,-0.20783579177397948,23,128.13,101.5,3470520.0
AHL,2025,11,-0.025812807881773425,20,101.5,98.88,903722.0
AHL,2025,12,0.1443163430420713,22,98.88,113.15,2430562.0
AHL,2026,1,0.023950508174988894,22,113.15,115.86,1509463.0
AHL,2026,2,-0.1799585706887622,19,115.86,95.01,983721.0
AHL,2026,3,-0.11640879907378177,20,95.01,83.95,1027116.0
AHL,2026,4,0.19999999999999996,22,83.95,100.74,864039.0
AHL,2026,5,0.06660710740520148,17,100.74,107.45,924200.0
AHL,2026,6,0.05667752442996754,20,107.45,113.54,949772.0
AHL,2026,7,0.0985555751277083,23,113.54,124.73,2518157.0
AHL,2026,8,-0.0056922953579733315,1,124.73,124.02,81016.0
AHTM,2013,12,,20,,33.2,36000.0
AHTM,2014,1,0.2159638554216865,14,33.2,40.37,24000.0
AHTM,2014,2,-0.04012880852117906,6,40.37,38.75,5500.0
AHTM,2014,3,-0.04516129032258065,1,38.75,37.0,500.0
AHTM,2014,4,-0.10810810810810811,4,37.0,33.0,2500.0
AHTM,2014,5,-0.04999999999999993,1,33.0,31.35,2000.0
AHTM,2014,6,-0.09346092503987236,2,31.35,28.42,1500.0
AHTM,2014,7,-0.0446868402533428,1,28.42,27.15,500.0
AHTM,2014,8,-0.08839779005524862,3,27.15,24.75,2500.0
AHTM,2014,9,-0.006464646464646506,10,24.75,24.59,7000.0
AHTM,2014,10,0.09068727124847498,3,24.59,26.82,4500.0
AHTM,2014,11,0.049962714392244534,1,26.82,28.16,500.0
AHTM,2014,12,-0.06782670454545459,6,28.16,26.25,3500.0
AHTM,2015,1,0.06666666666666665,5,26.25,28.0,6000.0
AHTM,2015,2,0.10035714285714281,3,28.0,30.81,3000.0
AHTM,2015,3,0.006166828951639225,1,30.81,31.0,3500.0
AHTM,2015,5,-0.047419354838709626,8,31.0,29.53,0.0
AHTM,2015,6,-0.18726718591263125,4,29.53,24.0,2500.0
AHTM,2015,7,0.2024999999999999,8,24.0,28.86,7000.0
AHTM,2015,8,-0.04989604989604979,2,28.86,27.42,1000.0
AHTM,2015,9,-0.015317286652078876,2,27.42,27.0,0.0
AHTM,2016,3,-0.06481481481481477,8,27.0,25.25,0.0
AHTM,2016,5,-0.01089108910891079,2,25.25,24.975,0.0
AHTM,2016,6,-0.019019019019019034,2,24.975,24.5,0.0
AHTM,2016,7,0.04979591836734687,1,24.5,25.72,2500.0
AHTM,2016,8,-0.04976671850699832,1,25.72,24.44,500.0
AHTM,2016,10,-0.06669394435351894,2,24.44,22.81,1500.0
AHTM,2016,11,-0.03551074090311257,3,22.81,22.0,2500.0
AHTM,2016,12,0.2754545454545454,5,22.0,28.06,8000.0
AHTM,2017,1,-0.0983606557377048,3,28.06,25.3,1000.0
AHTM,2017,2,0.07114624505928857,6,25.3,27.1,3000.0
AHTM,2017,3,0.02553505535055356,2,27.1,27.792,500.0
AHTM,2017,4,-0.06447898675877961,2,27.792,26.0,1000.0
AHTM,2017,5,-0.002307692307692233,3,26.0,25.94,10500.0
AHTM,2017,7,-0.04973014649190455,1,25.94,24.65,500.0
AHTM,2017,8,-0.006085192697768749,1,24.65,24.5,0.0
AHTM,2017,9,0.10122448979591847,2,24.5,26.98,500.0
AHTM,2017,10,0.021126760563380254,4,26.98,27.55,1500.0
AHTM,2017,12,0.1335753176043557,5,27.55,31.23,18500.0
AHTM,2018,2,-0.03938520653218058,4,31.23,30.0,12500.0
AHTM,2018,3,0.15666666666666673,3,30.0,34.7,2000.0
AHTM,2018,4,0.0997118155619594,4,34.7,38.16,500.0
AHTM,2018,9,0.048218029350104885,1,38.16,40.0,0.0
AHTM,2018,10,0.0,1,40.0,40.0,500.0
AHTM,2019,4,0.02499999999999991,2,40.0,41.0,4000.0
AHTM,2019,5,-0.04999999999999993,1,41.0,38.95,0.0
AHTM,2019,6,0.0,2,38.95,38.95,21500.0
AHTM,2019,8,0.0,1,38.95,38.95,4000.0
AHTM,2019,10,0.06675224646983291,2,38.95,41.55,1000.0
AHTM,2019,11,0.03489771359807459,1,41.55,43.0,1000.0
AHTM,2020,1,0.050000000000000044,1,43.0,45.15,500.0
AHTM,2020,3,-0.0033222591362126463,1,45.15,45.0,0.0
AHTM,2020,4,0.07488888888888878,1,45.0,48.37,500.0
AHTM,2020,5,0.0748397767211082,1,48.37,51.99,1000.0
AHTM,2020,6,-0.14406616657049431,2,51.99,44.5,2500.0
AHTM,2020,8,0.101123595505618,7,44.5,49.0,3500.0
AHTM,2020,9,0.009183673469387754,2,49.0,49.45,3000.0
AHTM,2020,10,-0.006066734074823166,4,49.45,49.15,0.0
AHTM,2020,11,-0.033570701932858604,1,49.15,47.5,0.0
AHTM,2020,12,0.030315789473684074,3,47.5,48.94,8000.0
AHTM,2021,1,-0.06947282386595832,1,48.94,45.54,500.0
AHTM,2021,3,-0.011857707509881354,1,45.54,45.0,500.0
AHTM,2021,6,0.07444444444444454,2,45.0,48.35,11000.0
AHTM,2021,7,0.16028955532574973,4,48.35,56.1,2000.0
AHTM,2021,8,0.05187165775401059,1,56.1,59.01,500.0
AHTM,2021,10,-0.01711574309439079,7,59.01,58.0,0.0
AHTM,2021,11,0.0862068965517242,6,58.0,63.0,4500.0
AHTM,2022,1,-0.018650793650793585,8,63.0,61.825,8000.0
AHTM,2022,2,-0.07496967246259612,1,61.825,57.19,500.0
AHTM,2022,3,-0.07335198461269454,5,57.19,52.995,1000.0
AHTM,2022,4,-0.07444098499858476,1,52.995,49.05,500.0
AHTM,2022,5,-0.00917431192660545,4,49.05,48.6,11000.0
AHTM,2022,6,-0.03292181069958855,2,48.6,47.0,3500.0
AHTM,2022,7,0.07489361702127662,1,47.0,50.52,500.0
AHTM,2022,10,-0.12569279493269991,2,50.52,44.17,3500.0
AHTM,2022,11,0.14376273488793312,3,44.17,50.52,2000.0
AHTM,2023,1,0.1460807600950118,2,50.52,57.9,4500.0
AHTM,2023,3,-0.15371329879101903,4,57.9,49.0,5000.0
AHTM,2023,4,-0.020408163265306145,1,49.0,48.0,500.0
AHTM,2023,6,0.07499999999999996,1,48.0,51.6,3000.0
AHTM,2023,7,-0.03100775193798455,2,51.6,50.0,4000.0
AHTM,2023,10,-0.08879999999999999,1,50.0,45.56,500.0
AHTM,2023,11,-0.012291483757682187,3,45.56,45.0,2500.0
AHTM,2023,12,0.2837777777777779,4,45.0,57.77,2000.0
AHTM,2024,2,0.07495239743811655,1,57.77,62.1,500.0
AHTM,2024,5,0.012882447665056418,1,62.1,62.9,500.0
AHTM,2024,7,-0.12559618441971376,6,62.9,55.0,1176.0
AHTM,2024,8,0.0,3,55.0,55.0,16.0
AHTM,2024,9,0.0,5,55.0,55.0,366.0
AHTM,2024,10,0.0,4,55.0,55.0,106.0
AHTM,2024,11,0.0,5,55.0,55.0,17.0
AHTM,2024,12,-0.09999999999999998,6,55.0,49.5,1266.0
AHTM,2025,1,0.10000000000000009,6,49.5,54.45,1378.0
AHTM,2025,2,-0.008264462809917439,18,54.45,54.0,2316.0
AHTM,2025,3,0.0,2,54.0,54.0,210.0
AHTM,2025,4,0.0,4,54.0,54.0,216.0
AHTM,2025,5,0.0,3,54.0,54.0,90.0
AHTM,2025,6,0.0,3,54.0,54.0,169.0
AHTM,2025,7,0.5074074074074075,14,54.0,81.4,37006.0
AHTM,2025,8,-0.07272727272727275,17,81.4,75.48,12515.0
AHTM,2025,9,0.026894541600424038,16,75.48,77.51,3518.0
AHTM,2025,10,0.2742871887498386,23,77.51,98.77,144037.0
AHTM,2025,11,-0.0727953832135263,19,98.77,91.58,6670.0
AHTM,2025,12,-0.0994758680934702,19,91.58,82.47,14083.0
AHTM,2026,1,0.023887474233054373,22,82.47,84.44,8558.0
AHTM,2026,2,0.32981999052581723,17,84.44,112.29,43649.0
AHTM,2026,3,-0.34838364947902756,20,112.29,73.17,72215.0
AHTM,2026,4,0.17643843105097723,20,73.17,86.08,13691.0
AHTM,2026,5,0.02207249070631967,16,86.08,87.98,10811.0
AHTM,2026,6,0.06262786997044767,19,87.98,93.49,13631.0
AHTM,2026,7,0.021606588939993676,23,93.49,95.51,155339.0
AHTM,2026,8,0.02711757931106673,1,95.51,98.1,2185.0
AICL,2013,12,,21,,37.37,43074500.0
AICL,2014,1,0.05913834626705916,22,37.37,39.58,71757200.0
AICL,2014,2,0.05154118241536132,19,39.58,41.62,103782300.0
AICL,2014,3,0.12782316194137433,21,41.62,46.94,115025600.0
AICL,2014,4,0.02151682999573934,22,46.94,47.95,69631500.0
AICL,2014,5,0.013555787278414888,21,47.95,48.6,51911800.0
AICL,2014,6,-0.058230452674897126,21,48.6,45.77,26155700.0
AICL,2014,7,0.09700677299541183,19,45.77,50.21,41703500.0
AICL,2014,8,-0.06871141206930897,19,50.21,46.76,52925500.0
AICL,2014,9,0.022668947818648366,22,46.76,47.82,28066000.0
AICL,2014,10,-0.0468423253868675,20,47.82,45.58,11059500.0
AICL,2014,11,0.03751645458534436,18,45.58,47.29,69396000.0
AICL,2014,12,0.04588707972087125,22,47.29,49.46,78940500.0
AICL,2015,1,0.13445208249090168,22,49.46,56.11,106583000.0
AICL,2015,2,-0.060060595259312066,19,56.11,52.74,26173500.0
AICL,2015,3,-0.24194160030337508,21,52.74,39.98,17380500.0
AICL,2015,4,0.15707853926963478,22,39.98,46.26,22905500.0
AICL,2015,5,-0.040856031128404635,18,46.26,44.37,9870500.0
AICL,2015,6,0.07324768988054986,21,44.37,47.62,23122000.0
AICL,2015,7,0.1724065518689626,20,47.62,55.83,64917500.0
AICL,2015,8,0.016120365394948877,20,55.83,56.73,75685000.0
AICL,2015,9,-0.08214348669134486,20,56.73,52.07,23223000.0
AICL,2015,10,0.09621663145765313,21,52.07,57.08,17860500.0
AICL,2015,11,-0.021723896285914424,21,57.08,55.84,14691500.0
AICL,2015,12,0.011998567335243404,20,55.84,56.51,15455000.0
AICL,2016,1,-0.01716510352150058,19,56.51,55.54,17326500.0
AICL,2016,2,-0.05455527547713357,19,55.54,52.51,12923000.0
AICL,2016,3,0.019424871453056713,22,52.51,53.53,16373000.0
AICL,2016,4,0.039790771529983004,20,53.53,55.66,13542000.0
AICL,2016,5,-0.05910887531440889,22,55.66,52.37,25347500.0
AICL,2016,6,-0.04219973267137678,22,52.37,50.16,18457500.0
AICL,2016,7,0.045255183413078326,16,50.16,52.43,7447000.0
AICL,2016,8,-0.003051687964905514,21,52.43,52.27,6768500.0
AICL,2016,9,0.04495886741916966,17,52.27,54.62,6322000.0
AICL,2016,10,0.02654705236177235,19,54.62,56.07,11234500.0
AICL,2016,11,0.06188692705546628,22,56.07,59.54,16372000.0
AICL,2016,12,0.24521330198186098,22,59.54,74.14,39502000.0
AICL,2017,1,-0.01578095495009446,22,74.14,72.97,47007000.0
AICL,2017,2,0.019185966835685964,20,72.97,74.37,25037000.0
AICL,2017,3,0.01694231544977809,22,74.37,75.63,13064500.0
AICL,2017,4,-0.008594473092688015,20,75.63,74.98,14529500.0
AICL,2017,5,0.03400906908508938,22,74.98,77.53,11236000.0
AICL,2017,6,-0.11827679607893715,18,77.53,68.36,8262500.0
AICL,2017,7,0.05383265067290832,21,68.36,72.04,5218500.0
AICL,2017,8,-0.14686285397001675,22,72.04,61.46,7370000.0
AICL,2017,9,0.02505694760820054,19,61.46,63.0,3338000.0
AICL,2017,10,-0.17000000000000004,21,63.0,52.29,2013500.0
AICL,2017,11,-0.01721170395869187,22,52.29,51.39,2633500.0
AICL,2017,12,0.011286242459622509,18,51.39,51.97,3050500.0
AICL,2018,1,0.10544544929767175,23,51.97,57.45,7834000.0
AICL,2018,2,-0.007658833768494411,19,57.45,57.01,5132500.0
AICL,2018,3,0.017365374495702524,21,57.01,58.0,5784500.0
AICL,2018,4,-0.020689655172413834,21,58.0,56.8,5187000.0
AICL,2018,5,-0.12940140845070414,19,56.8,49.45,1555500.0
AICL,2018,6,-0.01456016177957542,18,49.45,48.73,11736500.0
AICL,2018,7,0.022778575825979974,20,48.73,49.84,2892500.0
AICL,2018,8,-0.05317014446227941,19,49.84,47.19,3385500.0
AICL,2018,9,-0.047255774528501715,17,47.19,44.96,1230000.0
AICL,2018,10,0.02424377224199281,23,44.96,46.05,10022500.0
AICL,2018,11,-0.01845819761129197,21,46.05,45.2,2528500.0
AICL,2018,12,-0.07035398230088497,20,45.2,42.02,4621500.0
AICL,2019,1,0.06377915278438828,22,42.02,44.7,4403500.0
AICL,2019,2,-0.015659955257270708,19,44.7,44.0,2690000.0
AICL,2019,3,-0.08977272727272734,19,44.0,40.05,1161500.0
AICL,2019,4,-0.051685393258427026,22,40.05,37.98,1039500.0
AICL,2019,5,-0.10742496050552919,21,37.98,33.9,5256500.0
