ticker,year,month,volume_tl
YBTAS,2012,11,3720.0
YBTAS,2012,12,0
YBTAS,2013,1,0
YBTAS,2013,2,16725.0
YBTAS,2013,3,3010.0
YBTAS,2013,4,87870.0
YBTAS,2013,5,94385.0
YBTAS,2013,6,36815.0
YBTAS,2013,7,74490.0
YBTAS,2013,8,97970.0
YBTAS,2013,9,84095.0
YBTAS,2013,10,95300.0
YBTAS,2013,11,35780.0
YBTAS,2013,12,34400.0
YBTAS,2014,1,41405.0
YBTAS,2014,2,27340.0
YBTAS,2014,3,37785.0
YBTAS,2014,4,96076.0
YBTAS,2014,5,88599.0
YBTAS,2014,6,122283.0
YBTAS,2014,7,66677.0
YBTAS,2014,8,100222.0
YBTAS,2014,9,70032.0
YBTAS,2014,10,35081.0
YBTAS,2014,11,71059.0
YBTAS,2014,12,127530.0
YBTAS,2015,1,49791.0
YBTAS,2015,2,60485.0
YBTAS,2015,3,139533.0
YBTAS,2015,4,480139.0
YBTAS,2015,5,748091.0
YBTAS,2015,6,220980.0
YBTAS,2015,7,180897.0
YBTAS,2015,8,58025.0
YBTAS,2015,9,121603.0
YBTAS,2015,10,81493.0
YBTAS,2015,11,178438.0
YBTAS,2015,12,103870.0
YBTAS,2016,1,71979.0
YBTAS,2016,2,142883.0
YBTAS,2016,3,156299.0
YBTAS,2016,4,168176.8
YBTAS,2016,5,360773.0
YBTAS,2016,6,310627.0
YBTAS,2016,7,172470.0
YBTAS,2016,8,195150.0
YBTAS,2016,9,346538.0
YBTAS,2016,10,226017.0
YBTAS,2016,11,277056.0
YBTAS,2016,12,169988.0
YBTAS,2017,1,281192.0
YBTAS,2017,2,220713.0
YBTAS,2017,3,272797.0
YBTAS,2017,4,91175.0
YBTAS,2017,5,112869.0
YBTAS,2017,6,152414.0
YBTAS,2017,7,345080.0
YBTAS,2017,8,318264.0
YBTAS,2017,9,189284.0
YBTAS,2017,10,383146.0
YBTAS,2017,11,141813.0
YBTAS,2017,12,73416.0
YBTAS,2018,1,246330.0
YBTAS,2018,2,459469.0
YBTAS,2018,3,2047461.0
YBTAS,2018,4,442054.0
YBTAS,2018,5,389299.0
YBTAS,2018,6,303704.0
YBTAS,2018,7,209689.0
YBTAS,2018,8,613202.0
YBTAS,2018,9,596797.6
