symbol,year,field,our_normalized,external,ratio,level,source
CSIL,2024,PAT,87158.719,87159.0,1.000,EXACT,dps
SINDM,2023,PAT,130410.86,130411.0,1.000,EXACT,dps
TRIPF,2023,Sales,24842373,24842373.0,1.000,EXACT,dps
UBL,2023,PAT,53180413,53180413.0,1.000,EXACT,dps
KML,2022,Sales,21452848.316,21452848.0,1.000,EXACT,dps
KOIL,2022,PAT,32964.865,32965.0,1.000,EXACT,dps
FFC,2023,Sales,159471951,159471951.0,1.000,EXACT,dps
FFC,2023,PAT,29673348,29673348.0,1.000,EXACT,dps
SPLC,2024,PAT,107177.536,107178.0,1.000,EXACT,dps
NESTLE,2022,Sales,162516255,162516255.0,1.000,EXACT,dps
NESTLE,2022,PAT,15049716,15049716.0,1.000,EXACT,dps
PSX,2023,PAT,219789,219789.0,1.000,EXACT,dps
AICL,2023,PAT,2716915,2262030.0,1.201,tight,dps
WAHN,2024,PAT,549413.947,549414.0,1.000,EXACT,dps
WAHN,2024,TA,2982681.246,3037956.0,0.982,EXACT,sarmaaya
WAHN,2024,TL,724289.437,779564.0,0.929,EXACT,sarmaaya
WAHN,2024,Eq,2258391.809,2258392.0,1.000,EXACT,sarmaaya
WAHN,2024,CA,2581285.275,2581285.0,1.000,EXACT,sarmaaya
BAFS,2023,Sales,4543139.222,4543139.0,1.000,EXACT,dps
SURC,2023,Sales,18860335,18860335.0,1.000,EXACT,dps
SURC,2023,PAT,2790531.0,2790531.0,1.000,EXACT,dps
PAKOXY,2025,Sales,13047286,13047286.0,1.000,EXACT,dps
PAKOXY,2025,TA,20595874,20728804.0,0.994,EXACT,sarmaaya
PAKOXY,2025,TL,8868788,8752950.0,1.013,EXACT,sarmaaya
PAKOXY,2025,Eq,11727086,11727086.0,1.000,EXACT,sarmaaya
PAKOXY,2025,CA,6265149,6265149.0,1.000,EXACT,sarmaaya
PAKOXY,2025,Sales,13047286,13047286.0,1.000,EXACT,sarmaaya
PAKOXY,2025,COGS,7807314,8057859.0,0.969,EXACT,sarmaaya
PAKOXY,2025,PAT,1669023,1669023.0,1.000,EXACT,sarmaaya
MEBL,2024,PAT,101507524,101507524.0,1.000,EXACT,dps
MEBL,2024,TA,3900411330,3910526539.0,0.997,EXACT,sarmaaya
MEBL,2024,TL,3653427038,3656896580.0,0.999,EXACT,sarmaaya
SEL,2024,Sales,916055,916056.0,1.000,EXACT,dps
SEL,2024,PAT,41991,41991.0,1.000,EXACT,dps
IML,2025,PAT,26663,26662.0,1.000,EXACT,dps
IML,2025,TA,12772502,12885406.0,0.991,EXACT,sarmaaya
IML,2025,TL,2389173,2502077.0,0.955,EXACT,sarmaaya
IML,2025,Eq,10383330,10383329.0,1.000,EXACT,sarmaaya
IML,2025,CA,3016727,3016727.0,1.000,EXACT,sarmaaya
IML,2025,Sales,319892,319892.0,1.000,EXACT,sarmaaya
IML,2025,PAT,26663,151368.0,0.176,WARN,sarmaaya
NICL,2025,PAT,2022683.881,2022684.0,1.000,EXACT,dps
NICL,2025,TA,33311141.513,34085996.0,0.977,EXACT,sarmaaya
