level,symbol,year,month,defect_type,missing_fields,detail
HOLE,NRSL,2016,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,OTSU,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PACE,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PACE,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PAEL,2014,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,PAEL,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,PAEL,2018,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,PAKD,2014,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,PAKD,2015,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,PAKD,2020,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,PAKOXY,2024,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PHDL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PIAA,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2022
HOLE,PIAA,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2022
HOLE,PIBTL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PIBTL,2023,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PIOC,2015,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,PKGP,2015,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,PMPK,2023,,no_financial_row,ALL_FINANCIALS,span 2014-2024
HOLE,PMRS,2017,,no_financial_row,ALL_FINANCIALS,span 2016-2025
HOLE,POML,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PRET,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PRET,2018,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PRL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PRWM,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PSEL,2021,,no_financial_row,ALL_FINANCIALS,span 2013-2024
HOLE,PSEL,2022,,no_financial_row,ALL_FINANCIALS,span 2013-2024
HOLE,PSO,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,PSYL,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,QUICE,2017,,no_financial_row,ALL_FINANCIALS,span 2016-2025
HOLE,QUICE,2018,,no_financial_row,ALL_FINANCIALS,span 2016-2025
HOLE,RAVT,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2020
HOLE,REDCO,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,REWM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,RMPL,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,RUBY,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,RUPL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SANE,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SANE,2018,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SEARL,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SEARL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SEL,2014,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,SEL,2015,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,SEPL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SERF,2017,,no_financial_row,ALL_FINANCIALS,span 2016-2021
HOLE,SERT,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SGPL,2018,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,SGPL,2019,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,SGPL,2020,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,SHEL,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2023
HOLE,SHFA,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SHFA,2021,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SHSML,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SIEM,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SIEM,2023,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SIEM,2024,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SLYT,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SLYT,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SML,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SML,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SMTM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2021
HOLE,SRVI,2014,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,SRVI,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,SSOM,2021,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,STCL,2022,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,STPL,2016,,no_financial_row,ALL_FINANCIALS,span 2015-2025
HOLE,SUTM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,SYS,2016,,no_financial_row,ALL_FINANCIALS,span 2015-2025
HOLE,SYS,2017,,no_financial_row,ALL_FINANCIALS,span 2015-2025
HOLE,SZTM,2015,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,THCCL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,TICL,2015,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,TICL,2016,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,TOWL,2014,,no_financial_row,ALL_FINANCIALS,span 2013-2025
