ticker,year,shares
PMPK,2025,61580341
PMPK,2026,61580341
PMRS,2013,3750000
PMRS,2014,3750000
PMRS,2015,28692000
PMRS,2016,3750000
PMRS,2017,3750000
PMRS,2018,3750000
PMRS,2019,3750000
PMRS,2020,3750000
PMRS,2021,3750000
PMRS,2022,3750000
PMRS,2023,3750000
PMRS,2024,3750000
PMRS,2025,3750000
PMRS,2026,3750000
POL,2013,236545900
POL,2014,236545900
POL,2015,236545900
POL,2016,236545900
POL,2017,236545900
POL,2018,236545900
POL,2019,283855100
POL,2020,283855100
POL,2021,283855100
POL,2022,283855100
POL,2023,283855100
POL,2024,283855100
POL,2025,283855100
POL,2026,283855104
POML,2013,7762500
POML,2014,7762500
POML,2015,7762500
POML,2016,7762500
POML,2017,7762500
POML,2018,7762500
POML,2019,7762500
POML,2020,7762500
POML,2021,7762500
POML,2022,7762500
POML,2023,7762500
POML,2024,5389111
POML,2025,7761372
POML,2026,7762500
PPL,2013,1643110200
PPL,2014,1971729500
PPL,2015,1971729500
PPL,2016,1971729500
PPL,2017,1971729500
PPL,2018,1971729500
PPL,2019,2267497200
PPL,2020,2720983600
PPL,2021,2726887600
PPL,2022,2726826800
PPL,2023,2720983600
PPL,2024,2720983600
PPL,2025,2720983600
PPL,2026,2720967548
PPP,2013,7997927
PPP,2014,7997927
PPP,2015,6000000
PPP,2016,6000000
PPP,2017,8000000
PPP,2018,6000000
PPP,2019,8000000
PPP,2020,8000000
PPP,2021,8000000
PPP,2022,8000000
PPP,2023,8000000
PPP,2024,8000000
PPP,2025,8000000
PPP,2026,8000000
PPVC,2013,14958000
PPVC,2014,14958000
PPVC,2015,14958000
PPVC,2016,14958000
PPVC,2017,14958000
PPVC,2018,14958000
PPVC,2019,14958000
PPVC,2020,14958000
PPVC,2021,14958000
PPVC,2022,14988000
PPVC,2023,14958000
PPVC,2024,14950000
PPVC,2025,14950000
PPVC,2026,14958000
PREMA,2013,218563706
PREMA,2014,218563706
PREMA,2015,218563706
PREMA,2016,218563706
PREMA,2017,110000000
PREMA,2018,110000000
PREMA,2019,146667000
PREMA,2020,161333700
PREMA,2021,177467070
PREMA,2022,198763100
PREMA,2023,218639400
PREMA,2024,218639400
PREMA,2025,218639400
PREMA,2026,218639430
PRET,2013,6163000
PRET,2014,6163000
PRET,2015,6163000
PRET,2016,6163000
PRET,2017,6163000
PRET,2018,6163000
PRET,2019,6163000
PRET,2020,6163000
PRET,2021,6163000
PRET,2022,6163000
PRET,2023,6163000
PRET,2024,6163000
PRET,2025,6163000
PRET,2026,6163000
PRL,2013,35000000
PRL,2014,35000000
PRL,2015,35000000
PRL,2016,294000000
PRL,2017,294000000
PRL,2018,294000000
PRL,2019,294000000
PRL,2020,315000000
PRL,2021,630000000
PRL,2022,630000000
PRL,2023,630000000
PRL,2024,630000000
PRL,2025,630000000
PRL,2026,630000000
PRWM,2013,18484099
PRWM,2014,18484099
PRWM,2015,18480000
PRWM,2016,18480000
PRWM,2017,18480000
PRWM,2018,18480000
PRWM,2019,18480000
PRWM,2020,18480000
PRWM,2021,18480000
PRWM,2022,18480000
PRWM,2023,18480000
PRWM,2024,18480000
PRWM,2025,18480000
PRWM,2026,18480000
PSEL,2013,32524200
PSEL,2014,32524200
PSEL,2015,32524200
PSEL,2016,32524200
PSEL,2017,32524200
PSEL,2018,32524200
PSEL,2019,32524200
PSEL,2020,32524200
PSEL,2021,32524250
PSEL,2022,32524200
PSEL,2023,32524200
PSEL,2024,32524200
PSEL,2025,32524250
PSEL,2026,32524250
PSMC,2013,82299900
PSMC,2014,82299900
PSMC,2015,82299900
PSMC,2016,82299900
PSMC,2017,82299900
PSMC,2018,92299900
PSMC,2019,82299900
PSMC,2020,82299900
PSMC,2021,82299900
PSMC,2022,82299900
PSMC,2023,82293489
PSMC,2024,82299851
PSMC,2025,82299851
PSMC,2026,82299851
PSO,2013,246987200
PSO,2014,271686000
PSO,2015,271686000
PSO,2016,271686000
PSO,2017,271686000
PSO,2018,324023200
PSO,2019,391227800
PSO,2020,469473400
PSO,2021,469473400
PSO,2022,469473400
PSO,2023,469473400
PSO,2024,469473400
PSO,2025,469473400
PSO,2026,469473300
PSYL,2013,138707876
PSYL,2014,138707876
PSYL,2015,138707876
PSYL,2016,138707876
PSYL,2017,138707876
PSYL,2018,138707876
PSYL,2019,138707876
PSYL,2020,138707876
PSYL,2021,138707876
PSYL,2022,138707876
PSYL,2023,138726957
PSYL,2024,138551793
PSYL,2025,138661132
PSYL,2026,138699000
PTC,2013,5100000000
PTC,2014,5100000000
PTC,2015,5100000000
PTC,2016,5100000000
PTC,2017,5100000000
PTC,2018,5100000000
PTC,2019,5100000000
PTC,2020,5100000000
PTC,2021,5100000000
PTC,2022,5100000000
PTC,2023,5100000000
PTC,2024,5100000000
PTC,2025,5100000000
PTC,2026,3774000000
PTL,2013,168122000
PTL,2014,168122000
PTL,2015,168122000
PTL,2016,168122000
PTL,2017,168122000
PTL,2018,168122000
PTL,2019,168122000
PTL,2020,168122000
PTL,2021,168122000
PTL,2022,168122000
PTL,2023,167749612
PTL,2024,168153430
PTL,2025,167950195
PTL,2026,168000000
QUET,2013,13000000
QUET,2014,13000000
QUET,2015,13000000
QUET,2016,13000000
QUET,2017,13000000
QUET,2018,13000000
QUET,2019,13000000
QUET,2020,13000000
QUET,2021,13000000
QUET,2022,13000000
QUET,2023,13000000
QUET,2024,13000000
QUET,2025,13012840
QUET,2026,13000000
RAVT,2013,25000000
RAVT,2014,25000000
RAVT,2015,25000000
RAVT,2016,25000000
RAVT,2017,25000000
RAVT,2018,25000000
RAVT,2019,24989216
RAVT,2020,24956198
RAVT,2021,25000000
RAVT,2022,25000000
RAVT,2023,25000000
RAVT,2024,25000000
RAVT,2025,25000000
RAVT,2026,25000000
RCML,2013,10292000
RCML,2014,10292000
RCML,2015,10292000
RCML,2016,10292000
RCML,2017,10292000
RCML,2018,10292000
RCML,2019,10292000
RCML,2020,10292000
RCML,2021,10292000
RCML,2022,10292000
RCML,2023,10292000
RCML,2024,10292000
RCML,2025,10652000
RCML,2026,10652000
REDCO,2013,49292600
REDCO,2014,49292600
REDCO,2015,49292600
REDCO,2016,49292600
REDCO,2017,49292600
REDCO,2018,49292600
REDCO,2019,49292600
REDCO,2020,49292600
REDCO,2021,49292600
REDCO,2022,49292600
REDCO,2023,49268987
REDCO,2024,49292600
REDCO,2025,49292600
REDCO,2026,49292600
REWM,2013,30809852
REWM,2014,30809852
REWM,2015,30809852
REWM,2016,30809852
REWM,2017,30809852
REWM,2018,30809852
REWM,2019,30809852
REWM,2020,30809852
REWM,2021,30809852
REWM,2022,30809852
REWM,2023,30821244
REWM,2024,30825258
REWM,2025,30814508
REWM,2026,30810938
RMPL,2013,9236400
RMPL,2014,9236400
RMPL,2015,9236400
RMPL,2016,9236400
RMPL,2017,9236400
RMPL,2018,9236400
RMPL,2019,9236400
RMPL,2020,9236400
RMPL,2021,9236400
RMPL,2022,9236400
RMPL,2023,9236400
RMPL,2024,9236400
RMPL,2025,9236400
RMPL,2026,9236400
RPL,2013,141555615
RPL,2014,141555615
RPL,2015,29939000
RPL,2016,29939000
RPL,2017,107500000
RPL,2018,118250000
RPL,2019,141900000
RPL,2020,141900000
RPL,2021,141900000
RPL,2022,141900000
RPL,2023,141000000
RPL,2024,141000000
RPL,2025,142464646
RPL,2026,141900000
RUBY,2013,52214400
RUBY,2014,52214400
RUBY,2015,52214400
RUBY,2016,52214400
RUBY,2017,52214400
RUBY,2018,52244400
RUBY,2019,52214400
RUBY,2020,52214400
RUBY,2021,52214400
RUBY,2022,52214400
RUBY,2023,52214400
RUBY,2024,52214400
RUBY,2025,52214400
RUBY,2026,52214400
RUPL,2013,34068500
RUPL,2014,34068500
RUPL,2015,34068500
RUPL,2016,34068500
RUPL,2017,34068500
RUPL,2018,34068500
RUPL,2019,34068500
RUPL,2020,34068500
RUPL,2021,34068500
RUPL,2022,34068500
